Reference, Value, Footprint, Datasheet, LCSC, Vendor, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Digikey, MPN, MFGPN
"H4","mech-only-no-pins","tom-mechanical:JLCPCB_ASSEMBLY_TOOL_HOLE","","DNP","","","","","","","","","",""
"J4","USB3_A","tom-connectors:USB3_A_Aliexpress","~","DNP","","","","","","","","2057-USB-A3-S-RA-ND","",""
"C26","0.1uF/6.3V/X5R/PCIE","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C28","0.1uF/6.3V/X5R/PCIE","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"R26","300R/5%","tom-passives:R_0402_1005Metric","","C25102","","","","","","","","","",""
"R27","300R/5%","tom-passives:R_0402_1005Metric","","C25102","","","","","","","","","",""
"R28","100R/1%","tom-passives:R_0402_1005Metric","","C25076","","","","","","","","","",""
"C30","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C33","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C32","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C34","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C21","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C20","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C19","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C22","0.1uF/6.3V/X5R/PCIE","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C24","0.1uF/6.3V/X5R/PCIE","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"J5","USB3_A_AS_PCIE","tom-connectors:USB3_A_Aliexpress","~","DNP","","","","","","","","2057-USB-A3-S-RA-ND","",""
"C48","0.1uF/6.3V/X5R/PCIE","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C47","0.1uF/6.3V/X5R/PCIE","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C4","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C3","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"TP5","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"TP6","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"C78","100uF/6.3V/X5R","tom-passives:CP_EIA-3216-12_Kemet-S","","C15008","478-12404-1-ND","","","","","","","","",""
"C79","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C80","4.7uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C81","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C82","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C83","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"C84","0.47uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C47339","1276-CL05Y474KP5VPNCCT-ND","","","","","","","","",""
"U5","TLV62569PDDCR","artix7-pcie-v2:SOT95P280X110-6N","","DNP","","","","","","","","","",""
"C9","47uF/10V/X7R","tom-passives:C_1206_3216Metric","","C96123","","","","","","","","","",""
"L2","2.2uH/4.5A","tom-passives:L_MWSA0518S","","C169184","","","","","","","","","MWSA0402-2R2MT",""
"R14","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"R11","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"C6","4.7uF/10V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"R16","200k/1%","tom-passives:R_0402_1005Metric","","C25764","","","","","","","","","",""
"R17","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"U8","TLV62569DBVR","artix7-pcie-v2:SOT95P280X145-5N","","C141836","","","","","","","","","",""
"C11","4.7uF/10V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"R24","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"R23","200k/1%","tom-passives:R_0402_1005Metric","","C25764","","","","","","","","","",""
"R21","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"U10","TPS74701DRCR","artix7-pcie-v2:16624-01YE","","C105262","","","","","","","","","",""
"C16","4.7uF/10V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C36","4.7uF/10V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"R36","200k/1%","tom-passives:R_0402_1005Metric","","C25764","","","","","","","","","",""
