Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R30","1k/1%","R_0402_1005Metric",-31.180000,13.750000,180.000000,bottom
"R31","150k/1%","R_0402_1005Metric",-13.160000,30.390000,90.000000,bottom
"R32","100k/1%","R_0402_1005Metric",-13.160000,32.310000,90.000000,bottom
"R33","100k/1%","R_0402_1005Metric",-47.500000,26.950000,180.000000,bottom
"R34","270R/5%","R_0402_1005Metric",-28.950000,13.820000,180.000000,bottom
"R35","270R/5%","R_0402_1005Metric",-28.490000,14.830000,180.000000,bottom
"R36","200k/1%","R_0402_1005Metric",-45.890000,21.000000,0.000000,bottom
"R37","1.5k","R_0402_1005Metric",-36.200000,19.990000,90.000000,bottom
"R38","100k/1%","R_0402_1005Metric",-47.810000,21.000000,0.000000,bottom
"R39","330k/1%","R_0402_1005Metric",-45.890000,19.990000,0.000000,bottom
"R51","4.7k/5%","R_0402_1005Metric",-48.800000,7.390000,0.000000,bottom
"R52","100R/1%","R_0402_1005Metric",-37.320000,15.590000,0.000000,bottom
"U4","5P49V6965A000NLGI","QFN50P400X400X100-25N-D",-11.800000,37.390000,0.000000,bottom
"X1","25MHz/10pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",-7.000000,36.990000,90.000000,bottom
